,Maturity,Coupon,Day,Price,Accrued,Dirty,YTM,Spot
0,3/1/2020,1.5,1,99.85,0.51,100.36,2.43,0.024
1,3/1/2020,1.5,2,99.86,0.52,100.38,2.34,0.0232
2,3/1/2020,1.5,3,99.86,0.52,100.38,2.38,0.0236
3,3/1/2020,1.5,4,99.86,0.53,100.39,2.36,0.0233
4,3/1/2020,1.5,5,99.86,0.53,100.39,2.4,0.0238
5,3/1/2020,1.5,6,99.86,0.53,100.39,2.45,0.0242
6,3/1/2020,1.5,7,99.86,0.54,100.4,2.43,0.024
7,3/1/2020,1.5,8,99.86,0.54,100.4,2.47,0.0244
8,3/1/2020,1.5,9,99.86,0.55,100.41,2.45,0.0242
9,3/1/2020,1.5,10,99.86,0.55,100.41,2.5,0.0247
10,9/1/2020,0.75,1,99.26,0.26,99.52,1.87,0.0185
11,9/1/2020,0.75,2,99.28,0.26,99.54,1.84,0.0183
12,9/1/2020,0.75,3,99.28,0.26,99.54,1.85,0.0183
13,9/1/2020,0.75,4,99.27,0.26,99.53,1.88,0.0186
14,9/1/2020,0.75,5,99.28,0.27,99.55,1.85,0.0183
15,9/1/2020,0.75,6,99.28,0.27,99.55,1.86,0.0184
16,9/1/2020,0.75,7,99.28,0.27,99.55,1.87,0.0185
17,9/1/2020,0.75,8,99.27,0.27,99.54,1.89,0.0187
18,9/1/2020,0.75,9,99.28,0.27,99.55,1.88,0.0187
19,9/1/2020,0.75,10,99.3,0.28,99.58,1.84,0.0183
20,3/1/2021,0.75,1,98.89,0.26,99.15,1.71,0.0169
21,3/1/2021,0.75,2,98.93,0.26,99.19,1.68,0.0166
22,3/1/2021,0.75,3,98.95,0.26,99.21,1.66,0.0165
23,3/1/2021,0.75,4,98.94,0.26,99.2,1.68,0.0166
24,3/1/2021,0.75,5,98.92,0.27,99.19,1.69,0.0167
25,3/1/2021,0.75,6,98.92,0.27,99.19,1.69,0.0168
26,3/1/2021,0.75,7,98.88,0.27,99.15,1.73,0.0172
27,3/1/2021,0.75,8,98.9,0.27,99.17,1.72,0.017
28,3/1/2021,0.75,9,98.9,0.27,99.17,1.72,0.0171
29,3/1/2021,0.75,10,98.93,0.28,99.21,1.69,0.0168
30,9/1/2021,0.75,1,98.41,0.26,98.67,1.72,0.017
31,9/1/2021,0.75,2,98.45,0.26,98.71,1.69,0.0168
32,9/1/2021,0.75,3,98.49,0.26,98.75,1.67,0.0166
33,9/1/2021,0.75,4,98.46,0.26,98.72,1.69,0.0168
34,9/1/2021,0.75,5,98.46,0.27,98.73,1.69,0.0167
35,9/1/2021,0.75,6,98.43,0.27,98.7,1.71,0.017
36,9/1/2021,0.75,7,98.43,0.27,98.7,1.71,0.017
37,9/1/2021,0.75,8,98.38,0.27,98.65,1.75,0.0173
38,9/1/2021,0.75,9,98.41,0.27,98.68,1.73,0.0172
39,9/1/2021,0.75,10,98.42,0.28,98.7,1.72,0.0171
40,3/1/2022,0.5,1,97.57,0.17,97.74,1.64,0.0163
41,3/1/2022,0.5,2,97.63,0.17,97.8,1.62,0.016
42,3/1/2022,0.5,3,97.66,0.17,97.83,1.6,0.0159
43,3/1/2022,0.5,4,97.65,0.18,97.83,1.61,0.0159
44,3/1/2022,0.5,5,97.64,0.18,97.82,1.61,0.016
45,3/1/2022,0.5,6,97.6,0.18,97.78,1.63,0.0162
46,3/1/2022,0.5,7,97.61,0.18,97.79,1.63,0.0162
47,3/1/2022,0.5,8,97.57,0.18,97.75,1.65,0.0164
48,3/1/2022,0.5,9,97.58,0.18,97.76,1.65,0.0164
49,3/1/2022,0.5,10,97.61,0.18,97.79,1.64,0.0162
50,6/1/2022,2.75,1,102.53,0.94,103.47,1.76,0.0175
51,6/1/2022,2.75,2,102.59,0.95,103.54,1.74,0.0172
52,6/1/2022,2.75,3,102.62,0.96,103.58,1.72,0.0171
53,6/1/2022,2.75,4,102.59,0.96,103.55,1.74,0.0172
54,6/1/2022,2.75,5,102.58,0.97,103.55,1.74,0.0173
55,6/1/2022,2.75,6,102.52,0.98,103.5,1.76,0.0175
56,6/1/2022,2.75,7,102.52,0.99,103.51,1.76,0.0174
57,6/1/2022,2.75,8,102.46,0.99,103.45,1.78,0.0177
58,6/1/2022,2.75,9,102.47,1.0,103.47,1.78,0.0176
59,6/1/2022,2.75,10,102.51,1.01,103.52,1.76,0.0175
60,3/1/2023,1.75,1,100.31,0.6,100.91,1.64,0.0162
61,3/1/2023,1.75,2,100.42,0.6,101.02,1.61,0.0159
62,3/1/2023,1.75,3,100.48,0.61,101.09,1.58,0.0157
63,3/1/2023,1.75,4,100.45,0.61,101.06,1.6,0.0158
64,3/1/2023,1.75,5,100.44,0.62,101.06,1.6,0.0158
65,3/1/2023,1.75,6,100.35,0.62,100.97,1.63,0.0161
66,3/1/2023,1.75,7,100.31,0.63,100.94,1.64,0.0162
67,3/1/2023,1.75,8,100.27,0.63,100.9,1.65,0.0164
68,3/1/2023,1.75,9,100.31,0.64,100.95,1.64,0.0162
69,3/1/2023,1.75,10,100.38,0.64,101.02,1.62,0.016
70,6/1/2023,1.5,1,99.48,0.51,99.99,1.64,0.0162
71,6/1/2023,1.5,2,99.59,0.52,100.11,1.61,0.0159
72,6/1/2023,1.5,3,99.65,0.52,100.17,1.59,0.0158
73,6/1/2023,1.5,4,99.61,0.53,100.14,1.6,0.0159
74,6/1/2023,1.5,5,99.62,0.53,100.15,1.6,0.0158
75,6/1/2023,1.5,6,99.54,0.53,100.07,1.62,0.0161
76,6/1/2023,1.5,7,99.53,0.54,100.07,1.62,0.0161
77,6/1/2023,1.5,8,99.44,0.54,99.98,1.65,0.0164
78,6/1/2023,1.5,9,99.49,0.55,100.04,1.64,0.0162
79,6/1/2023,1.5,10,99.56,0.55,100.11,1.62,0.016
80,3/1/2024,2.25,1,102.52,0.77,103.29,1.61,0.016
81,3/1/2024,2.25,2,102.65,0.78,103.43,1.58,0.0156
82,3/1/2024,2.25,3,102.75,0.78,103.53,1.56,0.0154
83,3/1/2024,2.25,4,102.58,0.79,103.37,1.6,0.0158
84,3/1/2024,2.25,5,102.68,0.8,103.48,1.57,0.0155
85,3/1/2024,2.25,6,102.53,0.8,103.33,1.61,0.0159
86,3/1/2024,2.25,7,102.47,0.81,103.28,1.62,0.0161
87,3/1/2024,2.25,8,102.46,0.81,103.27,1.63,0.0161
88,3/1/2024,2.25,9,102.54,0.82,103.36,1.6,0.0159
89,3/1/2024,2.25,10,102.64,0.83,103.47,1.58,0.0156
90,9/1/2024,1.5,1,98.72,0.51,99.23,1.78,0.0177
91,9/1/2024,1.5,2,98.95,0.52,99.47,1.73,0.0172
92,9/1/2024,1.5,3,99.29,0.52,99.81,1.65,0.0164
93,9/1/2024,1.5,4,99.11,0.53,99.64,1.69,0.0168
94,9/1/2024,1.5,5,99.25,0.53,99.78,1.66,0.0165
95,9/1/2024,1.5,6,98.99,0.53,99.52,1.72,0.0171
96,9/1/2024,1.5,7,99.03,0.54,99.57,1.71,0.017
97,9/1/2024,1.5,8,99.06,0.54,99.6,1.7,0.0169
98,9/1/2024,1.5,9,98.99,0.55,99.54,1.72,0.0171
99,9/1/2024,1.5,10,99.1,0.55,99.65,1.69,0.0168
